ID;Could be translated;Could not be translated;Understanding;Knowledge;Confounder;Other;None;Supporting;Need;Translation Clara;Translation Darina;Hate;Discard;;;
64891;;;;;A1:  A2: x;;;;x;Libanon: vor Muslimen nach Muslimen aber keine Sorge! \n Nachdem der Islam übernommen hat \n wird es ein goldenes Zeitalter geben…offenbar;Libanon: \n Vorm Islam \n Nachm Islam \n Aber keine Sorge! \n Nach dem der Islam übernimmt kommt das goldene Zeitalter ... offensichtlich;A1: x A2: ;;;;
65403;;;;x;;;;;x;Geld ist böse \n Gib es uns;Geld ist böse \n gebt es uns;;;;;
65832;;;A1:  A2: x;x;;;;;x;Warum den einen lieben und den anderen essen? \n Ich verstehe es nicht;Warum eins lieben und das andere essen? Verstehe ich nicht;A1: x A2: ;;;;
67103;;;A1:  A2: x;;;;;;x;Immer noch besser als Mexikaner;Immer noch besser als Mexikanisch;x;;;;
67435;;;;x;;;x;;;Wenn du ein jüdisches Mädchen nach ihrer Nummer fragst und sie anfängt ihren Ärmel hochzukrempeln;Wenn du ein jüdisches Mädchen nach ihrer \n Nummer fragst und sie anfängt ihren \n Ärmel hochzukrempeln;A1: x A2: ;A1:  A2: x;;;
68192;;;;;;;;;x;Wissenschaftler arbeiten hart \n um sie alle zu heilen;Wissenschaftler arbeiten hart daran \n sie alle zu heilen;x;;;;
68253;A1: x A2: ;;;x;;;;;x;Gratisdecke \n Vielleicht ist der weiße Mann doch nicht so schlimm;Eine Decke für umme \n vielleicht sind Weiße gar nicht so übel;x;;;;
68459;;;;A1: x A2: ;;;;;x;Familienausflug in Mexiko;Familienurlaub für Mexikaner;;;;;
68930;;;;;A1:  A2: x;;A1:  A2: x;;A1: x A2: ;Ooga Booga gib mir Rechte;Ooga, Booga, gebt mir Rechte!;A1:  A2: x;;;;
69015;;;;;A1:  A2: x;;A1:  A2: x;;A1: x A2: ;xboxone \n Landwirtschaftssimulator 1619;XBOXONE \n farming simulator 1619 ;A1:  A2: x;;;;
69512;;;;;A1:  A2: x;;;x;;Happy Birthday \n du sexy Biest;Alles Gute zum Geburtstag \n du sexy Biest;;;;;
69815;;;;;;;;A1:  A2: x;A1: x A2: ;Danke dass du mich in dein Land lässt \n Jetzt müssen wir darüber reden, was sich hier alles ändern muss damit es meinem Glauben entspricht;Danke dass du mich \n in deinem Land beherbergst \n jetzt müssen wir über die Dinge reden \n die sich hier ändern müssen \n um meinen Glauben zu beherbergen;;;;;
69850;;;;;A1:  A2: x;;;x;;Manchmal wirst du Männer rumlaufen sehen \n mit Waffen auf Paraden;Manchmal sieht man Männer mit Waffen \n auf Paraden rumlaufen;;;;;
70413;;;x;;;;A1: x A2: ;A1:  A2: x;;Iss oft Gemüse… aber wann;Esse oft Gemüse ... aber wenn;A1:  A2: x;A1: x A2: ?;;;
70953;;;;x;;;;;x;"""Gotts auserwähltes Volk"" \n laut dem Buch, dass sie geschrieben haben";"""Gottes auserwähltes Volk"" \n dem Buch nach \n was sie geschrieben haben";;;;;
71269;;;;A1: x A2: ;A1:  A2: x;;;;x;Um Männer wie ihn zu besiegen \n Werden Proteste gehalten, so dass Stimmen gehört werden;Um Männer wie diese zu besiegen \n werden Proteste gemacht sodass Stimmen gehört werden;;;;;
71620;;A1:  A2: x;;;A1: x A2: ;;;;A1: x A2: ;Wir bringen unsere kaputte Kaffeemaschine zurück;Wir geben unsere kaputte Kaffeemaschine zurück;A1:  A2: x;;;;
71968;;;A1: x A2: ;;;;;A1:  A2: x;A1: x A2: ;"Wenn du ""Blitz deaktivieren"" an deiner Kamera drückst";"Wenn du ""Blitz aus"" auf deiner Kamera drückst";;;;;
72864;x;;;x;;;;;x;Reisen durch den Schornstein;Reisen durch Rohre;A1: x A2: ;;;;
72904;;;;A1:  A2: x;;;;;x;terroristisches Trojanisches Pferd \n Staatsfeind;Terroristisches Trojanisches Pferd \n Staatsfeind;;A1:  A2: x;;;
73069;;;;A1:  A2: x;;;;;x;Immigration \n Ivasion \n Lerne den Unterschied;Immigration \n Invasion \n lerne den Unterschied;A1: x A2: ;;;;
73482;;;;;A1:  A2: x;;;x;;Es ist Zeit, dass wir die Waffen weglegen und \n sie aus der Reichweite unserer Kinder entfernen;Es ist Zeit unsere Waffen abzulegen und \n sie außerhalb der Reichweite von Kindern aufzubewahren;;;;;
73601;A1: x A2: ;;;;;;;;x;Wenn du weiß bist \n und dein erstes Fahrrad stiehlst;Wenn du weiß bist und zum ersten Mal klaust;x;;;;
73914;;;;A1:  A2: x;;;;;x;Sei vorsichtig wen du in der Schule hässlich nennst;Pass auf, wen du in der Schule als hässlich bezeichnest;x;;;;
73962;x;;;;;;;;x;Du solltest das behandeln wie deinen Staubsauger \n Wenn es aufhört zu saugen, wechsel den Beutel;Du solltest es behandeln wie einen Laubbläser, \n wenn es aufhört zu blasen, hol dir’n Neuen;x;;;;
74013;;;;;;;;x;;Krankenschwester: Ja, Sir, heute gibt es Kartoffelbrei Alzheimerpatient: \n Ich erinnere mich nicht dich irgendwas gefragt zu haben;Krankenschwester: Ja, der Herr, wir haben heute \n Stampfkartoffeln \n Alzheimer Patient: \n ich kann mich nicht erinnern sie irgendetwas gefragt zu haben.;;;;;
74906;;;;;;;;;x;Bist du ein Junge oder ein Mädchen \n Ich bin Non-Binary;Bist du ein Junge oder ein Mädchen? \n Ich bin nichtbinär;A1: x A2: ;;;;
